median_income,house_value
8.325200000000000600e+00,4.525999999999999801e+00
8.301399999999999224e+00,3.584999999999999964e+00
7.257399999999999629e+00,3.520999999999999908e+00
5.643099999999999561e+00,3.412999999999999812e+00
3.846200000000000063e+00,3.422000000000000153e+00
4.036800000000000388e+00,2.697000000000000064e+00
3.659100000000000019e+00,2.991999999999999993e+00
3.120000000000000107e+00,2.414000000000000146e+00
2.080400000000000027e+00,2.266999999999999904e+00
3.691199999999999815e+00,2.611000000000000210e+00
3.203100000000000058e+00,2.814999999999999947e+00
3.270500000000000185e+00,2.418000000000000149e+00
3.075000000000000178e+00,2.134999999999999787e+00
2.673599999999999977e+00,1.913000000000000034e+00
1.916700000000000070e+00,1.592000000000000082e+00
2.125000000000000000e+00,1.399999999999999911e+00
2.774999999999999911e+00,1.524999999999999911e+00
2.120200000000000085e+00,1.554999999999999938e+00
1.991100000000000092e+00,1.586999999999999966e+00
2.603299999999999947e+00,1.629000000000000004e+00
1.357799999999999896e+00,1.475000000000000089e+00
1.713500000000000023e+00,1.598000000000000087e+00
1.725000000000000089e+00,1.139000000000000012e+00
2.180600000000000094e+00,9.969999999999999973e-01
2.600000000000000089e+00,1.326000000000000068e+00
2.403799999999999937e+00,1.074999999999999956e+00
2.459700000000000220e+00,9.379999999999999449e-01
1.808000000000000052e+00,1.054999999999999938e+00
1.642400000000000082e+00,1.088999999999999968e+00
1.687500000000000000e+00,1.320000000000000062e+00
1.927400000000000002e+00,1.223000000000000087e+00
1.961500000000000021e+00,1.151999999999999913e+00
1.796899999999999942e+00,1.104000000000000092e+00
1.375000000000000000e+00,1.048999999999999932e+00
2.730300000000000171e+00,1.096999999999999975e+00
1.486099999999999977e+00,9.719999999999999751e-01
1.097199999999999953e+00,1.044999999999999929e+00
1.410300000000000109e+00,1.038999999999999924e+00
3.479999999999999982e+00,1.913999999999999924e+00
2.589799999999999880e+00,1.760000000000000009e+00
2.097799999999999887e+00,1.554000000000000048e+00
1.285199999999999898e+00,1.500000000000000000e+00
1.024999999999999911e+00,1.187999999999999945e+00
3.964300000000000157e+00,1.887999999999999901e+00
3.012500000000000178e+00,1.844000000000000083e+00
2.676800000000000068e+00,1.822999999999999954e+00
2.025999999999999801e+00,1.425000000000000044e+00
1.734799999999999898e+00,1.375000000000000000e+00
9.506000000000000005e-01,1.875000000000000000e+00
1.774999999999999911e+00,1.125000000000000000e+00
9.217999999999999527e-01,1.719000000000000083e+00
1.504499999999999948e+00,9.379999999999999449e-01
1.110800000000000010e+00,9.749999999999999778e-01
1.247500000000000053e+00,1.042000000000000037e+00
1.609799999999999898e+00,8.750000000000000000e-01
1.411299999999999999e+00,8.309999999999999609e-01
1.505700000000000038e+00,8.750000000000000000e-01
8.172000000000000375e-01,8.529999999999999805e-01
1.217100000000000071e+00,8.030000000000000471e-01
2.562500000000000000e+00,5.999999999999999778e-01
3.392900000000000027e+00,7.570000000000000062e-01
6.118299999999999628e+00,7.500000000000000000e-01
9.011000000000000121e-01,8.609999999999999876e-01
1.191000000000000059e+00,7.610000000000000098e-01
2.593799999999999883e+00,7.349999999999999867e-01
1.166700000000000070e+00,7.840000000000000302e-01
8.055999999999999828e-01,8.439999999999999725e-01
2.609399999999999942e+00,8.129999999999999449e-01
1.851599999999999913e+00,8.499999999999999778e-01
9.801999999999999602e-01,1.292000000000000037e+00
1.771900000000000031e+00,8.249999999999999556e-01
7.286000000000000254e-01,9.519999999999999574e-01
1.750000000000000000e+00,7.500000000000000000e-01
4.999000000000000110e-01,6.750000000000000444e-01
2.483000000000000096e+00,1.375000000000000000e+00
9.241000000000000325e-01,1.774999999999999911e+00
2.446400000000000130e+00,1.020999999999999908e+00
1.111099999999999977e+00,1.082999999999999963e+00
8.025999999999999801e-01,1.125000000000000000e+00
2.011400000000000077e+00,1.312999999999999945e+00
1.500000000000000000e+00,1.625000000000000000e+00
1.166700000000000070e+00,1.125000000000000000e+00
1.520799999999999930e+00,1.125000000000000000e+00
8.074999999999999956e-01,1.375000000000000000e+00
1.808799999999999963e+00,1.187999999999999945e+00
2.408300000000000107e+00,9.819999999999999840e-01
9.769999999999999796e-01,1.187999999999999945e+00
7.600000000000000089e-01,1.625000000000000000e+00
9.721999999999999531e-01,1.375000000000000000e+00
1.243400000000000061e+00,5.000009999999999621e+00
2.093799999999999883e+00,1.625000000000000000e+00
8.668000000000000149e-01,1.375000000000000000e+00
7.500000000000000000e-01,1.625000000000000000e+00
2.635400000000000187e+00,1.875000000000000000e+00
1.847699999999999898e+00,1.792000000000000037e+00
2.009599999999999831e+00,1.300000000000000044e+00
2.834499999999999797e+00,1.838000000000000078e+00
2.006200000000000205e+00,1.250000000000000000e+00
1.218499999999999917e+00,1.699999999999999956e+00
2.610399999999999832e+00,1.931000000000000050e+00
2.491200000000000081e+00,2.577999999999999847e+00
3.217699999999999783e+00,2.733999999999999986e+00
3.125000000000000000e+00,2.375000000000000000e+00
2.579499999999999904e+00,3.500000000000000000e+00
2.840599999999999792e+00,3.357000000000000206e+00
4.930600000000000094e+00,3.133999999999999897e+00
3.272699999999999942e+00,2.685000000000000053e+00
3.169099999999999806e+00,2.593999999999999861e+00
3.899999999999999911e+00,2.757000000000000117e+00
3.906299999999999883e+00,2.250000000000000000e+00
5.091700000000000337e+00,2.625000000000000000e+00
2.642900000000000027e+00,2.185000000000000053e+00
3.023299999999999876e+00,2.549999999999999822e+00
3.148400000000000087e+00,2.241000000000000103e+00
3.472199999999999953e+00,2.431000000000000050e+00
3.142900000000000027e+00,2.315999999999999837e+00
2.423399999999999999e+00,2.185000000000000053e+00
3.089700000000000113e+00,2.341000000000000192e+00
5.859600000000000364e+00,3.275999999999999801e+00
5.286800000000000388e+00,3.475999999999999979e+00
5.956000000000000405e+00,3.661000000000000032e+00
4.964299999999999713e+00,3.350000000000000089e+00
6.343399999999999928e+00,3.736000000000000210e+00
5.177299999999999791e+00,3.895000000000000018e+00
7.235400000000000276e+00,3.911000000000000032e+00
5.456999999999999851e+00,3.373000000000000220e+00
7.500000000000000000e+00,2.951999999999999957e+00
6.019400000000000084e+00,2.923000000000000043e+00
7.554400000000000226e+00,4.115000000000000213e+00
6.066600000000000215e+00,3.115000000000000213e+00
7.054800000000000182e+00,3.258999999999999897e+00
1.160169999999999924e+01,3.926000000000000156e+00
7.488199999999999967e+00,3.193000000000000060e+00
6.897599999999999731e+00,3.333000000000000185e+00
8.204900000000000304e+00,3.351999999999999869e+00
8.400999999999999801e+00,3.512000000000000011e+00
6.853799999999999670e+00,3.689000000000000057e+00
8.317000000000000171e+00,3.658999999999999808e+00
7.017500000000000071e+00,3.666999999999999815e+00
6.330199999999999605e+00,3.628000000000000114e+00
6.362400000000000055e+00,4.833000000000000185e+00
7.054899999999999949e+00,3.314000000000000057e+00
6.785099999999999909e+00,3.234999999999999876e+00
2.892900000000000027e+00,2.166999999999999815e+00
3.081199999999999939e+00,2.330999999999999961e+00
5.240199999999999747e+00,2.963999999999999968e+00
6.521700000000000053e+00,2.737000000000000099e+00
3.263199999999999878e+00,2.277000000000000135e+00
3.029799999999999827e+00,1.995999999999999996e+00
4.542799999999999727e+00,2.398000000000000131e+00
4.072000000000000064e+00,2.701000000000000068e+00
5.350900000000000212e+00,3.020999999999999908e+00
3.160299999999999887e+00,2.694999999999999840e+00
4.770800000000000374e+00,3.146999999999999797e+00
8.156399999999999650e+00,3.900999999999999801e+00
8.879300000000000637e+00,4.102999999999999758e+00
6.859099999999999753e+00,3.524000000000000021e+00
6.030199999999999783e+00,2.873000000000000220e+00
7.508000000000000007e+00,3.487000000000000099e+00
2.747700000000000031e+00,2.438000000000000167e+00
2.194399999999999906e+00,2.115000000000000213e+00
3.014899999999999913e+00,2.184000000000000163e+00
3.674999999999999822e+00,2.698999999999999844e+00
3.225000000000000089e+00,2.188000000000000167e+00
2.934499999999999886e+00,2.250000000000000000e+00
2.142900000000000027e+00,2.500000000000000000e+00
1.612100000000000088e+00,1.713999999999999968e+00
1.392900000000000027e+00,1.937999999999999945e+00
2.317299999999999915e+00,1.250000000000000000e+00
1.777199999999999891e+00,9.749999999999999778e-01
2.645799999999999930e+00,1.250000000000000000e+00
2.181000000000000050e+00,1.387999999999999901e+00
2.230300000000000171e+00,1.167000000000000037e+00
1.650400000000000089e+00,1.518000000000000016e+00
2.269699999999999829e+00,1.270000000000000018e+00
2.156299999999999883e+00,1.286000000000000032e+00
2.134799999999999809e+00,1.405999999999999917e+00
2.629199999999999982e+00,1.826999999999999957e+00
2.383300000000000196e+00,1.469000000000000083e+00
2.956999999999999851e+00,1.227999999999999980e+00
2.523800000000000043e+00,1.693000000000000060e+00
1.937500000000000000e+00,1.266000000000000014e+00
1.902800000000000047e+00,1.278999999999999915e+00
2.250000000000000000e+00,1.235000000000000098e+00
2.392900000000000027e+00,1.118999999999999995e+00
2.191699999999999982e+00,1.127999999999999892e+00
2.935700000000000198e+00,1.078999999999999959e+00
1.885399999999999965e+00,1.375000000000000000e+00
2.163800000000000168e+00,1.054999999999999938e+00
2.125000000000000000e+00,9.549999999999999600e-01
3.375000000000000000e+00,1.161000000000000032e+00
2.254199999999999982e+00,1.122000000000000108e+00
2.100000000000000089e+00,7.500000000000000000e-01
1.600000000000000089e+00,1.125000000000000000e+00
3.625000000000000000e+00,1.250000000000000000e+00
1.692900000000000071e+00,1.149999999999999911e+00
1.647100000000000009e+00,9.499999999999999556e-01
2.589999999999999858e+00,9.639999999999999680e-01
2.569999999999999840e+00,7.199999999999999734e-01
2.642900000000000027e+00,7.129999999999999671e-01
3.025700000000000056e+00,8.080000000000000515e-01
1.488599999999999923e+00,1.288000000000000034e+00
1.933799999999999963e+00,1.125000000000000000e+00
1.484399999999999942e+00,1.193999999999999950e+00
1.600899999999999990e+00,1.181000000000000050e+00
2.037500000000000089e+00,1.225000000000000089e+00
2.293000000000000149e+00,1.062999999999999945e+00
2.149399999999999977e+00,1.324999999999999956e+00
1.619799999999999907e+00,1.227000000000000091e+00
1.328100000000000058e+00,1.133000000000000007e+00
3.515600000000000058e+00,1.094999999999999973e+00
3.904799999999999827e+00,1.647000000000000020e+00
3.089300000000000157e+00,1.250000000000000000e+00
2.604200000000000070e+00,1.247000000000000108e+00
2.500000000000000000e+00,1.366999999999999993e+00
2.796899999999999942e+00,1.417000000000000037e+00
2.832100000000000062e+00,1.500000000000000000e+00
2.958299999999999930e+00,1.387999999999999901e+00
2.836500000000000021e+00,1.391999999999999904e+00
2.875000000000000000e+00,1.437999999999999945e+00
3.068200000000000038e+00,1.564999999999999947e+00
3.075699999999999878e+00,1.510000000000000009e+00
4.955899999999999750e+00,2.729999999999999982e+00
4.772100000000000009e+00,2.170999999999999819e+00
3.486099999999999977e+00,1.870999999999999996e+00
5.118400000000000283e+00,2.395999999999999908e+00
4.097699999999999676e+00,2.297000000000000153e+00
4.743999999999999773e+00,2.572999999999999954e+00
4.272700000000000387e+00,2.468999999999999861e+00
2.984399999999999942e+00,1.798999999999999932e+00
4.173899999999999721e+00,1.695999999999999952e+00
3.848700000000000010e+00,2.032999999999999918e+00
4.011400000000000077e+00,2.633999999999999897e+00
4.656299999999999883e+00,2.318000000000000060e+00
2.929699999999999971e+00,1.405000000000000027e+00
2.303599999999999870e+00,1.260000000000000009e+00
2.666700000000000070e+00,1.219999999999999973e+00
2.619000000000000217e+00,1.346999999999999975e+00
2.416700000000000070e+00,1.393999999999999906e+00
2.778799999999999937e+00,1.153999999999999915e+00
2.735199999999999854e+00,1.372999999999999998e+00
1.847199999999999953e+00,1.370000000000000107e+00
2.658300000000000107e+00,1.425999999999999934e+00
3.053599999999999870e+00,1.375000000000000000e+00
2.390600000000000058e+00,1.116999999999999993e+00
1.718800000000000106e+00,1.268000000000000016e+00
2.625000000000000000e+00,1.112999999999999989e+00
2.801499999999999879e+00,1.147999999999999909e+00
1.727600000000000025e+00,1.022999999999999909e+00
2.080099999999999838e+00,1.318999999999999950e+00
2.488999999999999879e+00,1.191000000000000059e+00
1.754599999999999937e+00,8.060000000000000497e-01
4.090399999999999814e+00,8.060000000000000497e-01
2.676499999999999879e+00,8.880000000000000115e-01
2.433800000000000185e+00,1.024000000000000021e+00
2.330900000000000194e+00,9.869999999999999885e-01
2.260400000000000187e+00,1.000000000000000000e+00
1.803900000000000059e+00,9.230000000000000426e-01
2.256200000000000205e+00,9.479999999999999538e-01
2.056200000000000028e+00,1.020000000000000018e+00
3.539800000000000058e+00,1.584000000000000075e+00
3.116699999999999804e+00,1.215999999999999970e+00
2.540099999999999802e+00,1.290999999999999925e+00
2.898000000000000131e+00,1.213999999999999968e+00
2.312500000000000000e+00,1.028000000000000025e+00
2.875000000000000000e+00,1.600000000000000089e+00
3.371500000000000163e+00,1.439000000000000057e+00
3.511400000000000077e+00,1.512000000000000011e+00
4.312500000000000000e+00,1.643999999999999906e+00
3.220000000000000195e+00,1.564999999999999947e+00
3.875000000000000000e+00,2.250000000000000000e+00
5.232800000000000118e+00,1.741999999999999993e+00
3.726199999999999957e+00,1.669000000000000039e+00
4.589299999999999713e+00,1.635000000000000009e+00
5.257799999999999585e+00,2.529999999999999805e+00
7.087500000000000355e+00,2.407000000000000028e+00
3.971200000000000063e+00,2.080999999999999961e+00
2.951400000000000023e+00,1.981000000000000094e+00
2.666700000000000070e+00,1.727999999999999980e+00
5.444600000000000328e+00,3.366999999999999993e+00
6.283800000000000274e+00,3.181999999999999940e+00
6.752699999999999925e+00,2.858000000000000096e+00
7.071200000000000152e+00,2.930000000000000160e+00
5.984899999999999665e+00,3.709999999999999964e+00
3.687500000000000000e+00,1.572999999999999954e+00
2.875000000000000000e+00,1.352999999999999980e+00
3.420500000000000096e+00,1.366999999999999993e+00
3.298399999999999999e+00,1.606999999999999984e+00
3.875000000000000000e+00,1.405999999999999917e+00
4.174999999999999822e+00,1.439999999999999947e+00
4.375000000000000000e+00,1.618999999999999995e+00
4.770800000000000374e+00,1.562999999999999945e+00
3.573900000000000077e+00,1.760000000000000009e+00
3.095800000000000107e+00,1.457999999999999963e+00
3.395799999999999930e+00,1.419000000000000039e+00
1.870999999999999996e+00,9.070000000000000284e-01
1.935599999999999987e+00,9.060000000000000275e-01
2.184200000000000141e+00,1.078999999999999959e+00
2.291700000000000070e+00,1.070000000000000062e+00
2.433300000000000018e+00,9.819999999999999840e-01
1.947899999999999965e+00,8.950000000000000178e-01
3.906299999999999883e+00,9.379999999999999449e-01
1.840700000000000003e+00,9.669999999999999707e-01
2.078599999999999781e+00,9.749999999999999778e-01
2.812500000000000000e+00,9.729999999999999760e-01
1.891299999999999981e+00,9.120000000000000329e-01
1.705600000000000005e+00,9.140000000000000346e-01
2.276800000000000157e+00,9.619999999999999662e-01
3.255199999999999871e+00,1.201000000000000068e+00
2.055600000000000094e+00,1.000000000000000000e+00
2.465899999999999981e+00,9.469999999999999529e-01
1.750000000000000000e+00,8.569999999999999840e-01
2.046899999999999942e+00,8.930000000000000160e-01
2.715899999999999981e+00,1.014000000000000012e+00
1.208299999999999930e+00,7.249999999999999778e-01
1.925000000000000044e+00,7.409999999999999920e-01
1.580899999999999972e+00,6.999999999999999556e-01
1.409699999999999953e+00,8.459999999999999742e-01
7.682999999999999829e-01,8.179999999999999494e-01
1.319399999999999906e+00,8.139999999999999458e-01
8.012000000000000233e-01,8.179999999999999494e-01
1.947899999999999965e+00,8.579999999999999849e-01
1.176500000000000101e+00,8.709999999999999964e-01
2.345600000000000129e+00,8.349999999999999645e-01
2.153799999999999937e+00,7.970000000000000417e-01
2.513900000000000023e+00,8.339999999999999636e-01
1.262499999999999956e+00,8.469999999999999751e-01
2.906299999999999883e+00,8.000000000000000444e-01
2.519200000000000106e+00,7.640000000000000124e-01
2.111099999999999977e+00,7.970000000000000417e-01
2.455000000000000071e+00,8.239999999999999547e-01
2.402800000000000047e+00,9.769999999999999796e-01
2.149999999999999911e+00,9.719999999999999751e-01
2.477599999999999802e+00,1.016000000000000014e+00
2.158700000000000063e+00,8.649999999999999911e-01
1.843800000000000106e+00,9.050000000000000266e-01
3.029799999999999827e+00,1.076000000000000068e+00
2.250000000000000000e+00,8.419999999999999707e-01
2.246700000000000141e+00,8.890000000000000124e-01
4.046899999999999942e+00,8.070000000000000506e-01
1.324999999999999956e+00,8.709999999999999964e-01
1.619599999999999929e+00,8.509999999999999787e-01
2.173099999999999810e+00,8.199999999999999512e-01
1.916700000000000070e+00,8.279999999999999583e-01
2.068999999999999950e+00,8.459999999999999742e-01
1.711999999999999966e+00,8.209999999999999520e-01
2.562500000000000000e+00,8.930000000000000160e-01
1.982099999999999973e+00,9.829999999999999849e-01
2.504300000000000193e+00,9.230000000000000426e-01
2.328100000000000058e+00,8.880000000000000115e-01
1.437500000000000000e+00,9.000000000000000222e-01
2.512199999999999989e+00,9.549999999999999600e-01
1.562500000000000000e+00,9.170000000000000373e-01
3.158700000000000063e+00,1.004000000000000004e+00
1.842600000000000016e+00,9.479999999999999538e-01
4.669599999999999973e+00,1.643000000000000016e+00
2.459799999999999986e+00,1.554999999999999938e+00
6.074900000000000411e+00,1.969000000000000083e+00
4.830400000000000027e+00,2.790999999999999925e+00
5.570100000000000051e+00,2.528000000000000025e+00
5.370000000000000107e+00,2.754000000000000004e+00
6.860000000000000320e+00,2.500000000000000000e+00
7.692300000000000360e+00,3.298000000000000043e+00
4.031299999999999883e+00,1.955000000000000071e+00
6.832300000000000040e+00,2.559000000000000163e+00
4.974999999999999645e+00,3.111000000000000210e+00
5.360199999999999854e+00,3.299999999999999822e+00
5.000000000000000000e+00,2.488999999999999879e+00
2.924999999999999822e+00,1.429000000000000048e+00
3.891300000000000203e+00,1.262999999999999901e+00
3.225000000000000089e+00,1.358000000000000096e+00
3.145799999999999930e+00,1.306000000000000050e+00
2.536999999999999922e+00,1.078999999999999959e+00
2.556799999999999962e+00,1.110999999999999988e+00
3.508300000000000196e+00,1.219999999999999973e+00
3.312500000000000000e+00,1.179999999999999938e+00
1.823499999999999899e+00,9.519999999999999574e-01
3.804699999999999971e+00,9.429999999999999494e-01
2.291700000000000070e+00,9.250000000000000444e-01
2.496199999999999974e+00,9.180000000000000382e-01
4.041699999999999626e+00,1.094000000000000083e+00
3.484399999999999942e+00,1.294999999999999929e+00
4.145800000000000374e+00,1.433999999999999941e+00
2.625000000000000000e+00,9.819999999999999840e-01
2.022699999999999942e+00,1.030999999999999917e+00
3.333299999999999930e+00,2.767999999999999794e+00
5.338000000000000078e+00,2.709000000000000075e+00
3.473199999999999843e+00,2.462000000000000188e+00
3.512500000000000178e+00,2.241999999999999993e+00
3.137500000000000178e+00,2.290999999999999925e+00
2.803599999999999870e+00,2.116000000000000103e+00
4.582399999999999807e+00,2.560999999999999943e+00
3.020799999999999930e+00,2.063000000000000167e+00
4.087500000000000355e+00,2.213000000000000078e+00
4.526799999999999713e+00,2.073999999999999844e+00
1.737500000000000044e+00,3.500000000000000000e+00
3.179499999999999993e+00,2.181999999999999940e+00
3.867199999999999971e+00,2.166999999999999815e+00
5.167500000000000426e+00,2.705999999999999961e+00
5.169599999999999973e+00,2.613999999999999879e+00
4.261400000000000077e+00,2.612999999999999989e+00
5.055100000000000371e+00,2.322000000000000064e+00
5.622799999999999798e+00,3.754000000000000004e+00
7.886400000000000077e+00,3.572999999999999954e+00
7.955599999999999561e+00,3.744000000000000217e+00
6.174000000000000377e+00,3.588000000000000078e+00
6.941399999999999793e+00,4.174999999999999822e+00
8.834199999999999164e+00,4.304999999999999716e+00
7.175399999999999778e+00,3.629000000000000004e+00
1.008249999999999957e+01,3.970000000000000195e+00
4.908299999999999663e+00,3.467999999999999972e+00
5.791199999999999903e+00,3.270999999999999908e+00
4.589299999999999713e+00,2.900999999999999801e+00
5.417099999999999582e+00,2.919999999999999929e+00
4.125000000000000000e+00,2.709000000000000075e+00
7.266000000000000014e+00,3.710999999999999854e+00
5.398900000000000254e+00,3.355999999999999872e+00
7.833599999999999675e+00,3.713000000000000078e+00
6.159299999999999997e+00,3.439999999999999947e+00
6.381000000000000227e+00,3.422000000000000153e+00
6.682800000000000296e+00,3.709000000000000075e+00
7.538499999999999979e+00,3.500000000000000000e+00
6.713799999999999990e+00,3.685999999999999943e+00
6.242499999999999716e+00,3.918000000000000149e+00
5.797900000000000276e+00,4.152999999999999581e+00
4.281299999999999883e+00,2.849000000000000199e+00
3.541700000000000070e+00,2.875000000000000000e+00
3.013199999999999878e+00,2.729000000000000092e+00
4.142900000000000027e+00,2.596000000000000085e+00
4.191200000000000259e+00,2.544999999999999929e+00
3.916700000000000070e+00,2.355999999999999872e+00
3.889699999999999935e+00,2.184000000000000163e+00
3.106500000000000039e+00,2.291999999999999815e+00
2.992599999999999927e+00,1.921000000000000041e+00
3.556000000000000050e+00,1.792999999999999927e+00
1.475000000000000089e+00,1.875000000000000000e+00
1.697100000000000053e+00,1.387999999999999901e+00
2.170500000000000096e+00,1.500000000000000000e+00
2.750000000000000000e+00,1.405999999999999917e+00
2.568200000000000038e+00,1.199999999999999956e+00
2.899999999999999911e+00,1.447999999999999954e+00
2.220800000000000107e+00,1.447999999999999954e+00
3.234399999999999942e+00,2.455000000000000071e+00
3.515600000000000058e+00,2.000000000000000000e+00
1.980499999999999927e+00,1.737000000000000099e+00
2.668400000000000105e+00,1.856000000000000094e+00
3.875000000000000000e+00,1.826000000000000068e+00
3.005999999999999783e+00,2.278999999999999915e+00
2.543000000000000149e+00,2.206999999999999851e+00
2.867599999999999927e+00,2.120000000000000107e+00
2.190700000000000092e+00,2.713999999999999968e+00
1.777800000000000047e+00,2.688000000000000167e+00
2.520000000000000018e+00,2.778000000000000025e+00
4.278800000000000381e+00,3.325000000000000178e+00
2.943999999999999950e+00,3.388999999999999790e+00
1.725000000000000089e+00,2.875000000000000000e+00
5.228900000000000325e+00,3.846000000000000085e+00
2.556200000000000028e+00,3.713999999999999968e+00
9.489999999999999547e-01,3.500000000000000000e+00
1.169599999999999973e+00,5.000009999999999621e+00
1.401200000000000001e+00,1.750000000000000000e+00
1.185899999999999954e+00,2.416999999999999815e+00
1.746399999999999952e+00,2.166999999999999815e+00
2.884599999999999831e+00,2.112999999999999989e+00
2.737200000000000077e+00,2.101999999999999869e+00
3.859399999999999942e+00,1.963999999999999968e+00
3.562500000000000000e+00,1.917000000000000037e+00
2.278799999999999937e+00,1.822999999999999954e+00
2.536999999999999922e+00,1.750000000000000000e+00
2.524999999999999911e+00,1.659000000000000030e+00
1.994599999999999929e+00,1.568999999999999950e+00
2.821400000000000130e+00,1.643000000000000016e+00
2.616499999999999826e+00,1.500000000000000000e+00
1.948299999999999921e+00,1.504999999999999893e+00
1.932700000000000085e+00,1.699000000000000066e+00
1.979800000000000004e+00,1.473999999999999977e+00
2.416700000000000070e+00,1.526999999999999913e+00
2.541700000000000070e+00,1.826999999999999957e+00
3.390600000000000058e+00,1.792999999999999927e+00
2.565199999999999925e+00,1.576999999999999957e+00
2.284499999999999975e+00,1.530999999999999917e+00
2.607099999999999973e+00,2.500000000000000000e+00
3.149999999999999911e+00,2.063000000000000167e+00
2.691399999999999793e+00,2.188000000000000167e+00
1.844700000000000006e+00,1.981999999999999984e+00
1.630700000000000038e+00,2.536000000000000032e+00
2.904399999999999871e+00,2.573999999999999844e+00
2.940500000000000114e+00,2.895000000000000018e+00
3.389299999999999979e+00,2.416999999999999815e+00
3.041700000000000070e+00,4.895999999999999908e+00
7.089699999999999669e+00,4.461999999999999744e+00
5.046299999999999564e+00,4.562999999999999723e+00
1.765200000000000102e+00,3.367999999999999883e+00
7.852100000000000080e+00,5.000009999999999621e+00
9.395899999999999253e+00,5.000009999999999621e+00
5.379400000000000404e+00,3.769000000000000128e+00
3.261899999999999800e+00,3.096000000000000085e+00
2.705400000000000027e+00,1.822999999999999954e+00
2.243100000000000094e+00,1.727000000000000091e+00
1.902800000000000047e+00,1.508000000000000007e+00
1.581700000000000106e+00,1.536000000000000032e+00
2.284100000000000019e+00,1.062999999999999945e+00
1.378500000000000059e+00,1.423000000000000043e+00
2.901800000000000157e+00,1.193999999999999950e+00
1.729999999999999982e+00,1.479000000000000092e+00
2.262500000000000178e+00,1.328999999999999959e+00
2.210599999999999898e+00,1.324999999999999956e+00
2.699699999999999989e+00,1.268999999999999906e+00
4.001800000000000246e+00,1.437999999999999945e+00
7.877200000000000202e+00,5.000009999999999621e+00
1.186030000000000051e+01,5.000009999999999621e+00
1.349900000000000055e+01,5.000009999999999621e+00
1.221380000000000088e+01,5.000009999999999621e+00
8.187200000000000699e+00,4.660999999999999588e+00
1.238039999999999985e+01,5.000009999999999621e+00
5.894800000000000040e+00,4.578000000000000291e+00
8.119400000000000617e+00,4.716000000000000192e+00
8.747700000000000031e+00,5.000009999999999621e+00
